firm_id,year,sector,revenue,employees,rnd_spend,profit
F39,2011,Agriculture,87954.6,57.4,119.54,11538.9
F39,2012,Agriculture,77972.1,48.0,96.29,8184.6
F39,2013,Agriculture,69040.6,49.9,100.56,7464.1
F39,2014,Agriculture,86796.2,58.0,115.63,8692.2
F39,2015,Agriculture,66495.7,52.8,101.86,5538.8
F39,2016,Agriculture,80851.1,56.6,119.41,11783.6
F39,2017,Agriculture,89274.5,59.6,119.04,6880.6
F39,2018,Agriculture,84571.9,55.4,,8875.3
F39,2019,Agriculture,99930.0,60.5,122.73,8898.0
F39,2020,Agriculture,62200.8,58.5,116.59,7325.4
F40,2010,Manufacturing,59364.1,54.8,108.48,8075.4
F40,2011,Manufacturing,63847.2,54.5,112.55,3637.4
F40,2012,Manufacturing,63858.8,60.9,127.19,4699.8
F40,2013,Manufacturing,80443.1,73.1,146.56,6979.3
F40,2014,Manufacturing,62853.0,53.0,97.19,8282.2
F40,2015,Manufacturing,77921.8,59.3,112.88,7323.8
F40,2016,Manufacturing,53925.5,54.8,108.99,5962.6
F40,2017,Manufacturing,76873.9,65.4,134.84,2202.2
F40,2018,Manufacturing,81337.3,73.7,,7100.2
F40,2019,Manufacturing,56058.4,60.5,114.35,5853.7
F40,2020,Manufacturing,66980.0,64.6,130.03,1545.5
F40,2021,Manufacturing,99478.5,70.7,153.82,9071.2
F40,2022,Manufacturing,89642.9,74.4,143.09,12318.0
F40,2023,Manufacturing,113897.8,79.4,155.09,4945.8
